Image,Caption
urn:cite:mid:sbb104imgs.sbb00000104_000079.v1,"Folio 38, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000080.v1,"Folio 38, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000081.v1,"Folio 39, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000082.v1,"Folio 39, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000083.v1,"Folio 40, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000084.v1,"Folio 40, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000085.v1,"Folio 41, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000086.v1,"Folio 41, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000087.v1,"Folio 42, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000088.v1,"Folio 42, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000089.v1,"Folio 43, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000090.v1,"Folio 43, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000091.v1,"Folio 44, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000092.v1,"Folio 44, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000093.v1,"Folio 45, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000094.v1,"Folio 45, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000095.v1,"Folio 46, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000096.v1,"Folio 46, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000097.v1,"Folio 47, recto"
urn:cite:mid:sbb104imgs.sbb00000104_000098.v1,"Folio 47, verso"
urn:cite:mid:sbb104imgs.sbb00000104_000099.v1,"Folio 48, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000100.v1,"Folio 48, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000101.v1,"Folio 49, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000102.v1,"Folio 49, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000103.v1,"Folio 50, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000104.v1,"Folio 50, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000105.v1,"Folio 51, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000106.v1,"Folio 51, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000107.v1,"Folio 52, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000108.v1,"Folio 52, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000109.v1,"Folio 53, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000110.v1,"Folio 53, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000111.v1,"Folio 54, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000112.v1,"Folio 54, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000113.v1,"Folio 55, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000114.v1,"Folio 55, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000115.v1,"Folio 56, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000116.v1,"Folio 56, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000117.v1,"Folio 57, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000118.v1,"Folio 57, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000119.v1,"Folio 58, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000120.v1,"Folio 58, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000121.v1,"Folio 59, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000122.v1,"Folio 59, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000123.v1,"Folio 60, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000124.v1,"Folio 60, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000125.v1,"Folio 61, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000126.v1,"Folio 61, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000127.v1,"Folio 62, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000128.v1,"Folio 62, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000129.v1,"Folio 63, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000130.v1,"Folio 63, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000131.v1,"Folio 64, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000132.v1,"Folio 64, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000133.v1,"Folio 65, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000134.v1,"Folio 65, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000135.v1,"Folio 66, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000136.v1,"Folio 66, verso"
urn:cite:mid:sbb104imgs.sbb00000104_0000137.v1,"Folio 67, recto"
urn:cite:mid:sbb104imgs.sbb00000104_0000138.v1,"Folio 67, verso"
